month,cpi
2018.9,102.5
2018.8,102.3
2018.7,102.1
2018.6,101.85
2018.5,101.75
2018.4,101.8
2018.3,102.06
2018.2,102.9
2018.1,101.47
2017.12,102.0
2017.11,101.73
2017.10,101.87
2017.9,101.6
2017.8,101.77
2017.7,101.4
2017.6,101.5
2017.5,101.52
2017.4,101.17
2017.3,100.92
2017.2,100.8
2017.1,102.55
2016.12,102.08
2016.11,102.25
2016.10,102.1
2016.9,101.9
2016.8,101.34
2016.7,101.77
2016.6,101.88
2016.5,102.04
2016.4,102.33
2016.3,102.3
2016.2,102.3
2016.1,101.8
2015.12,101.64
2015.11,101.49
2015.10,101.27
2015.9,102.2
2015.8,102.8
2015.7,101.65
2015.6,101.39
2015.5,101.23
2015.4,101.51
2015.3,101.38
2015.2,101.43
2015.1,100.76
2014.12,102.62
2014.11,101.44
2014.10,101.6
2014.9,101.63
2014.8,101.99
2014.7,102.29
2014.6,102.34
2014.5,102.48
2014.4,101.8
2014.3,102.38
2014.2,101.95
2014.1,102.49
2013.12,102.65
2013.11,103.02
2013.10,103.21
2013.9,103.05
2013.8,102.57
2013.7,102.67
2013.6,102.67
2013.5,102.1
2013.4,102.39
2013.3,102.07
2013.2,103.22
2013.1,102.03
2012.12,102.52
2012.11,102.04
2012.10,101.72
2012.9,101.91
2012.8,102.05
2012.7,101.78
2012.6,102.15
2012.5,103.0
2012.4,103.37
2012.3,103.59
2012.2,103.16
2012.1,104.55
2011.12,104.1
2011.11,104.2
2011.10,105.5
2011.9,106.1
2011.8,106.2
2011.7,106.5
2011.6,106.4
2011.5,105.5
2011.4,105.3
2011.3,105.4
2011.2,104.9
2011.1,104.9
2010.12,104.6
2010.11,105.1
2010.10,104.4
2010.9,103.6
2010.8,103.5
2010.7,103.3
2010.6,102.9
2010.5,103.1
2010.4,102.8
2010.3,102.4
2010.2,102.7
2010.1,101.5
2009.12,101.9
2009.11,100.6
2009.10,99.5
2009.9,99.2
2009.8,98.8
2009.7,98.2
2009.6,98.3
2009.5,98.6
2009.4,98.5
2009.3,98.8
2009.2,98.4
2009.1,101.0
2008.12,101.2
2008.11,102.4
2008.10,104.0
2008.9,104.6
2008.8,104.9
2008.7,106.3
2008.6,107.1
2008.5,107.7
2008.4,108.5
2008.3,108.3
2008.2,108.7
2008.1,107.1
2007.12,106.5
2007.11,106.9
2007.10,106.5
2007.9,106.2
2007.8,106.5
2007.7,105.6
2007.6,104.4
2007.5,103.4
2007.4,103.0
2007.3,103.3
2007.2,102.7
2007.1,102.2
2006.12,102.8
2006.11,101.9
2006.10,101.4
2006.9,101.5
2006.8,101.3
2006.7,101.0
2006.6,101.5
2006.5,101.4
2006.4,101.2
2006.3,100.8
2006.2,100.9
2006.1,101.9
2005.12,101.6
2005.11,101.3
2005.10,101.2
2005.9,100.9
2005.8,101.3
2005.7,101.8
2005.6,101.6
2005.5,101.8
2005.4,101.8
2005.3,102.7
2005.2,103.9
2005.1,101.9
2004.12,102.4
2004.11,102.8
2004.10,104.3
2004.9,105.2
2004.8,105.3
2004.7,105.3
2004.6,105.0
2004.5,104.4
2004.4,103.8
2004.3,103.0
2004.2,102.1
2004.1,103.2
2003.12,103.2
2003.11,103.0
2003.10,101.8
2003.9,101.1
2003.8,100.9
2003.7,100.5
2003.6,100.3
2003.5,100.7
2003.4,101.0
2003.3,100.9
2003.2,100.2
2003.1,100.4
2002.12,99.6
2002.11,99.3
2002.10,99.2
2002.9,99.3
2002.8,99.3
2002.7,99.1
2002.6,99.2
2002.5,98.9
2002.4,98.7
2002.3,99.2
2002.2,100.0
2002.1,99.0
2001.12,99.7
2001.11,99.7
2001.10,100.2
2001.9,99.9
2001.8,101.0
2001.7,101.5
2001.6,101.4
2001.5,101.7
2001.4,101.6
2001.3,100.8
2001.2,100.0
2001.1,101.2
2000.12,101.5
2000.11,101.3
2000.10,100.0
2000.9,100.0
2000.8,100.3
2000.7,100.5
2000.6,100.5
2000.5,100.1
2000.4,99.7
2000.3,99.8
2000.2,100.7
2000.1,99.8
1999.12,99.0
1999.11,99.1
1999.10,99.4
1999.9,99.2
1999.8,98.7
1999.7,98.6
1999.6,97.9
1999.5,97.8
1999.4,97.8
1999.3,98.2
1999.2,98.7
1999.1,98.8
1998.12,99.0
1998.11,98.8
1998.10,98.9
1998.9,98.5
1998.8,98.6
1998.7,98.6
1998.6,98.7
1998.5,99.0
1998.4,99.7
1998.3,100.7
1998.2,99.9
1998.1,100.3
1997.12,100.4
1997.11,101.1
1997.10,101.5
1997.9,101.8
1997.8,101.9
1997.7,102.7
1997.6,102.8
1997.5,102.8
1997.4,103.2
1997.3,104.0
1997.2,105.6
1997.1,105.9
1996.12,107.0
1996.11,106.9
1996.10,107.0
1996.9,107.4
1996.8,108.1
1996.7,108.3
1996.6,108.6
1996.5,108.9
1996.4,109.7
1996.3,109.8
1996.2,109.3
1996.1,109.0
1995.12,110.1
1995.11,111.2
1995.10,112.1
1995.9,113.2
1995.8,114.5
1995.7,116.7
1995.6,118.2
1995.5,120.3
1995.4,120.7
1995.3,121.3
1995.2,122.4
1995.1,124.1
1994.12,125.5
1994.11,127.5
1994.10,127.7
1994.9,127.3
1994.8,125.8
1994.7,124.0
1994.6,122.6
1994.5,121.3
1994.4,121.7
1994.3,122.4
1994.2,123.2
1994.1,121.1
1993.12,118.8
1993.11,116.7
1993.10,115.9
1993.9,115.7
1993.8,116.0
1993.7,116.2
1993.6,115.1
1993.5,114.0
1993.4,112.6
1993.3,112.2
1993.2,110.5
1993.1,110.3
1992.12,108.8
1992.11,108.2
1992.10,107.9
1992.9,107.5
1992.8,105.8
1992.7,105.2
1992.6,104.8
1992.5,104.7
1992.4,107.1
1992.3,105.3
1992.2,105.3
1992.1,105.5
1991.12,104.5
1991.11,104.4
1991.10,104.8
1991.9,104.5
1991.8,104.9
1991.7,104.7
1991.6,104.4
1991.5,103.6
1991.4,101.3
1991.3,101.6
1991.2,101.0
1991.1,102.2
1990.12,104.3
1990.11,103.7
1990.10,103.1
1990.9,102.9
1990.8,102.5
1990.7,101.1
1990.6,101.1
1990.5,102.7
1990.4,103.2
1990.3,103.4
1990.2,104.4
1990.1,104.3
