code,xcode,name,ipo_date,issue_date,amount,markets,price,pe,limit,funds,ballot
002942,002942,新农股份,2018-11-22,,3000,1200,14.33,22.98,1.2,4.2989999999999995,0.0
002941,002941,新疆交建,2018-11-15,,6500,1950,7.18,22.0,1.95,4.667,0.0
601319,780319,中国人保,2018-11-06,,180000,30337,0.0,0.0,30.3,0.0,0.0
603220,732220,贝通信,2018-11-06,,8444,3378,0.0,0.0,3.3,6.629,0.0
300751,300751,迈为股份,2018-10-31,,1300,1300,56.68,22.99,1.3,7.367999999999999,0.02
300674,300674,宇信科技,2018-10-24,,4001,3601,8.36,22.97,1.2,3.345,0.05
002939,002939,长城证券,2018-10-17,2018-10-26,31034,27931,6.31,22.98,9.3,19.582,0.16
002940,002940,昂利康,2018-10-11,2018-10-23,2250,2025,23.07,22.99,0.9,5.191,0.03
601162,780162,天风证券,2018-10-09,2018-10-19,51800,46620,1.79,22.86,15.5,0.0,0.25
300760,300760,迈瑞医疗,2018-09-27,2018-10-16,12160,10944,48.8,22.99,3.6,59.341,0.08
300694,300694,蠡湖股份,2018-09-27,2018-10-15,5383,4845,9.89,22.98,2.15,5.324,0.04
300749,300749,顶固集创,2018-09-13,2018-09-25,2850,2565,12.22,22.99,1.1,3.483,0.03
002937,002937,兴瑞科技,2018-09-12,2018-09-26,4600,4140,9.94,22.99,1.8,4.572,0.04
601577,780577,长沙银行,2018-09-12,2018-09-26,34216,30794,7.99,6.97,10.2,27.338,0.17
603583,732583,捷昌驱动,2018-09-11,2018-09-21,3020,2718,29.17,22.99,1.2,8.809,0.03
002936,002936,郑州银行,2018-09-07,2018-09-19,60000,54000,4.59,6.5,18.0,27.54,0.25
300748,300748,金力永磁,2018-09-06,2018-09-21,4160,3744,5.39,22.98,1.2,2.242,0.05
603810,732810,丰山集团,2018-09-06,2018-09-17,2000,2000,25.43,20.39,2.0,5.086,0.02
002938,002938,鹏鼎控股,2018-09-05,2018-09-18,23114,20803,16.07,22.99,6.9,37.145,0.12
603790,732790,雅运股份,2018-08-30,2018-09-12,3680,3312,10.98,15.83,1.3,4.041,0.04
603297,732297,永新光学,2018-08-29,2018-09-10,2100,1890,25.87,22.99,0.8,5.433,0.03
002935,002935,天奥电子,2018-08-23,2018-09-03,2667,2400,19.38,22.99,0.8,5.169,0.03
601068,780068,中铝国际,2018-08-21,2018-08-31,29591,26632,3.45,31.86,8.8,10.209,0.15
603192,732192,汇得科技,2018-08-16,2018-08-28,2667,2400,19.6,22.99,1.0,5.227,0.03
002933,002933,新兴装备,2018-08-15,2018-08-28,2935,2642,22.45,22.99,1.15,6.5889999999999995,0.03
603590,732590,康辰药业,2018-08-14,2018-08-27,4000,3600,24.34,22.99,1.6,9.736,0.04
300724,300724,捷佳伟创,2018-08-01,2018-08-10,8000,7200,14.16,18.47,3.2,11.328,0.05
601606,780606,长城军工,2018-07-25,2018-08-06,14800,13320,3.33,22.93,4.4,4.9319999999999995,0.09
603657,732657,春光科技,2018-07-18,2018-07-30,2400,2160,18.46,22.99,0.9,4.43,0.03
601869,780869,长飞光纤,2018-07-10,2018-07-20,7579,6821,26.71,16.38,2.2,20.244,0.06
603713,732713,密尔克卫,2018-07-04,2018-07-13,3812,3431,11.27,20.53,1.5,4.811,0.04
002932,002932,明德生物,2018-06-29,2018-07-10,1665,1665,20.45,22.99,1.65,3.404,0.01
603105,732105,芯能科技,2018-06-27,2018-07-09,8800,7920,4.83,22.96,2.6,4.25,0.06
603706,732706,东方环宇,2018-06-27,2018-07-09,4000,3600,13.09,22.99,1.6,5.236000000000001,0.03
603693,732693,江苏新能,2018-06-21,2018-07-03,11800,10620,9.0,17.87,3.5,10.706,0.07
603650,732650,彤程新材,2018-06-14,2018-06-27,5880,5292,12.32,22.99,1.7,7.244,0.05
300747,300747,锐科激光,2018-06-13,2018-06-25,3200,2880,38.11,17.96,1.25,12.195,0.03
603587,732587,地素时尚,2018-06-12,2018-06-22,6100,5490,27.52,22.99,1.8,16.787,0.05
601066,780066,中信建投,2018-06-07,2018-06-20,40000,36000,5.42,11.21,12.0,21.68,0.16
601990,780990,南京证券,2018-06-01,2018-06-13,27502,24752,3.79,25.61,8.2,0.0,0.12
603666,732666,亿嘉和,2018-05-31,2018-06-12,1754,1754,34.46,19.5,1.7,6.046,0.02
300750,300750,宁德时代,2018-05-30,2018-06-11,21724,19552,25.14,22.99,6.5,54.615,0.09
601330,780330,绿色动力,2018-05-30,2018-06-11,11620,10458,3.29,19.56,3.4,3.823,0.07
601138,780138,工业富联,2018-05-24,2018-06-08,196953,100610,13.77,17.09,41.3,267.96,0.34
300746,300746,汉嘉设计,2018-05-16,2018-05-25,5260,4734,5.62,21.45,2.1,2.9560000000000004,0.04
603486,732486,科沃斯,2018-05-16,2018-05-28,4010,3609,20.02,22.99,1.2,8.027999999999999,0.04
300745,300745,欣锐科技,2018-05-14,2018-05-23,2863,2577,11.65,17.29,1.1,4.435,0.03
300454,300454,深信服,2018-05-07,2018-05-16,4001,3601,30.07,22.99,1.2,12.030999999999999,0.04
603045,732045,福达合金,2018-05-07,2018-05-17,2458,2212,9.65,20.03,0.9,2.372,0.03
603013,732013,亚普股份,2018-04-25,2018-05-09,6000,5400,11.67,18.0,1.8,7.002000000000001,0.05
300742,300742,越博动力,2018-04-25,2018-05-08,1963,1963,23.34,22.99,1.95,4.582,0.02
603259,732259,药明康德,2018-04-24,2018-05-08,10420,9378,21.6,22.99,3.1,22.506999999999998,0.06
603596,732596,伯特利,2018-04-18,2018-04-27,4086,3677,15.1,22.88,1.2,6.17,0.04
603348,732348,文灿股份,2018-04-16,2018-04-26,5500,4950,15.26,22.99,2.2,8.392999999999999,0.04
603733,732733,仙鹤股份,2018-04-09,2018-04-20,6200,5580,13.59,22.98,1.8,8.426,0.05
603773,732773,沃格光电,2018-04-04,2018-04-17,2365,2129,33.37,15.68,0.9,7.892,0.03
603876,732876,鼎胜新材,2018-04-04,2018-04-18,6500,5850,13.54,22.98,1.9,8.801,0.05
300743,300743,天地数码,2018-04-04,2018-04-27,1650,1650,14.7,22.99,1.65,2.425,0.01
603301,732301,振德医疗,2018-03-29,2018-04-12,2500,2250,19.82,22.99,1.0,4.955,0.03
603897,732897,长城科技,2018-03-28,2018-04-10,4460,4014,17.66,18.71,1.7,7.876,0.04
002931,002931,锋龙股份,2018-03-22,2018-04-03,2222,2000,12.36,22.98,0.85,2.7460000000000004,0.02
603214,732214,爱婴室,2018-03-21,2018-03-30,2500,2250,19.95,22.98,1.0,4.987,0.03
300504,300504,天邑股份,2018-03-21,2018-03-30,6685,6017,13.06,22.98,2.55,8.731,0.04
300634,300634,彩讯股份,2018-03-14,2018-03-23,4001,3601,7.17,22.98,1.2,2.8689999999999998,0.04
002930,002930,宏川智慧,2018-03-14,2018-03-28,6083,5475,8.53,22.97,2.4,5.189,0.04
600929,730929,湖南盐业,2018-03-14,2018-03-26,15000,13500,3.71,22.99,4.5,5.565,0.08
002928,002928,华夏航空,2018-02-14,2018-03-02,4050,3645,20.64,22.99,1.2,8.359,0.04
002929,002929,润建通信,2018-02-13,2018-03-01,5519,4967,23.95,22.99,2.2,13.217,0.04
300741,300741,华宝股份,2018-02-13,2018-03-01,6159,5543,38.6,22.99,1.8,23.774,0.05
