code,name,p_change,price,change,open,high,low,preprice,pe,volratio,turnover,range,volume,selling,buying,amount,totals,industry,area,floats,fvalues,abvalues,avgprice,strength,activity,avgturnover,attack,interval3,interval6
002420,毅昌股份,10.15,3.69,0.34,3.34,3.69,3.33,3.35,0.0,4.46,2.9,10.75,113588.0,82863.0,30725.0,41333880.0,4.01,塑料,广东,3.92,14.45,14.8,3.64,10.51,869.0,0.0033,10.81,-6.58,-23.76
002054,德美化工,10.11,5.12,0.47,4.62,5.12,4.62,4.65,43.58,1.93,7.92,10.75,247376.0,166565.0,80811.0,123179384.0,4.19,化工原料,广东,3.12,15.98,21.46,4.98,10.47,2039.0,0.0039,10.82,4.49,-15.65
000760,斯太尔,10.08,3.93,0.36,3.58,3.93,3.55,3.57,0.0,0.97,4.35,10.64,284585.0,206787.0,77798.0,109670760.0,7.72,汽车配件,湖北,6.54,25.72,30.33,3.85,10.45,1860.0,0.0023,10.7,-29.06,1.29
000903,云内动力,10.08,2.73,0.25,2.51,2.73,2.46,2.48,21.2,6.65,2.69,10.89,472412.0,244179.0,228233.0,124028576.0,19.71,机械基件,云南,17.58,47.98,53.8,2.63,10.44,2128.0,0.0013,10.98,3.8,-7.77
300274,阳光电源,10.08,6.88,0.63,6.88,6.88,6.88,6.25,12.34,0.35,0.98,0.0,104763.0,85652.0,19110.0,72076704.0,14.52,电气设备,安徽,10.66,73.34,99.92,6.88,10.44,1034.0,0.001,0.0,-6.01,-60.57
600796,钱江生化,10.07,5.9,0.54,5.3,5.9,5.28,5.36,0.0,1.12,3.79,11.57,114319.0,77491.0,36828.0,65158128.0,3.01,农药化肥,浙江,3.01,17.78,17.78,5.7,10.49,1025.0,0.0037,11.74,-2.96,-2.96
600064,南京高科,10.07,7.43,0.68,6.75,7.43,6.68,6.75,8.64,6.47,3.07,11.11,378959.0,218640.0,160318.0,275931840.0,12.36,园区开发,江苏,12.36,91.83,91.83,7.28,10.49,3022.0,0.001,11.23,5.24,-13.6
600462,九有股份,10.07,3.06,0.28,2.8,3.06,2.76,2.78,0.0,2.36,13.43,10.79,717130.0,459300.0,257829.0,214886224.0,5.34,元器件,深圳,5.34,16.33,16.33,3.0,10.48,2330.0,0.0058,10.87,-6.42,-32.75
600319,亚星化学,10.07,4.92,0.45,4.92,4.92,4.87,4.47,110.95,3.19,5.99,1.12,189182.0,169321.0,19861.0,93059824.0,3.16,化工原料,山东,3.16,15.53,15.53,4.92,10.48,1004.0,0.006,1.03,-13.07,-36.27
600689,上海三毛,10.06,8.64,0.79,7.9,8.64,7.81,7.85,547.01,2.74,6.56,10.57,99885.0,43087.0,56797.0,82951608.0,2.01,纺织,上海,1.52,13.15,17.37,8.3,10.48,1873.0,0.0035,10.63,-24.34,-22.23
