date,deposit_type,rate
2015-10-24,定活两便(定期),--
2015-10-24,定期存款整存整取(半年),1.30
2015-10-24,定期存款整存整取(二年),2.10
2015-10-24,定期存款整存整取(三个月),1.10
2015-10-24,定期存款整存整取(三年),2.75
2015-10-24,定期存款整存整取(五年),--
2015-10-24,定期存款整存整取(一年),1.50
2015-10-24,活期存款(不定期),0.35
2015-10-24,零存整取、整存零取、存本取息定期存款(三年),1.30
2015-10-24,零存整取、整存零取、存本取息定期存款(五年),--
2015-10-24,零存整取、整存零取、存本取息定期存款(一年),1.10
2015-10-24,通知存款(七天),1.35
2015-10-24,通知存款(一天),0.80
2015-10-24,协定存款(定期),1.15
2015-08-26,定活两便(定期),--
2015-08-26,定期存款整存整取(半年),1.55
2015-08-26,定期存款整存整取(二年),2.35
2015-08-26,定期存款整存整取(三个月),1.35
2015-08-26,定期存款整存整取(三年),3.00
2015-08-26,定期存款整存整取(五年),--
2015-08-26,定期存款整存整取(一年),1.75
2015-08-26,活期存款(不定期),0.35
2015-08-26,零存整取、整存零取、存本取息定期存款(三年),1.55
2015-08-26,零存整取、整存零取、存本取息定期存款(五年),--
2015-08-26,零存整取、整存零取、存本取息定期存款(一年),1.35
2015-08-26,通知存款(七天),1.35
2015-08-26,通知存款(一天),0.80
2015-08-26,协定存款(定期),1.15
2015-06-28,定活两便(定期),--
2015-06-28,定期存款整存整取(半年),1.80
2015-06-28,定期存款整存整取(二年),2.60
2015-06-28,定期存款整存整取(三个月),1.60
2015-06-28,定期存款整存整取(三年),3.25
2015-06-28,定期存款整存整取(五年),--
2015-06-28,定期存款整存整取(一年),2.00
2015-06-28,活期存款(不定期),0.35
2015-06-28,零存整取、整存零取、存本取息定期存款(三年),1.80
2015-06-28,零存整取、整存零取、存本取息定期存款(五年),--
2015-06-28,零存整取、整存零取、存本取息定期存款(一年),1.60
2015-06-28,通知存款(七天),1.35
2015-06-28,通知存款(一天),0.80
2015-06-28,协定存款(定期),1.15
2015-05-11,定活两便(定期),--
2015-05-11,定期存款整存整取(半年),2.05
2015-05-11,定期存款整存整取(二年),2.85
2015-05-11,定期存款整存整取(三个月),1.85
2015-05-11,定期存款整存整取(三年),3.50
2015-05-11,定期存款整存整取(五年),--
2015-05-11,定期存款整存整取(一年),2.25
2015-05-11,活期存款(不定期),0.35
2015-05-11,零存整取、整存零取、存本取息定期存款(三年),2.05
2015-05-11,零存整取、整存零取、存本取息定期存款(五年),--
2015-05-11,零存整取、整存零取、存本取息定期存款(一年),1.85
2015-05-11,通知存款(七天),1.35
2015-05-11,通知存款(一天),0.80
2015-05-11,协定存款(定期),1.15
2015-03-01,定活两便(定期),--
2015-03-01,定期存款整存整取(半年),2.30
2015-03-01,定期存款整存整取(二年),3.10
2015-03-01,定期存款整存整取(三个月),2.10
2015-03-01,定期存款整存整取(三年),3.75
2015-03-01,定期存款整存整取(五年),--
2015-03-01,定期存款整存整取(一年),2.50
2015-03-01,活期存款(不定期),0.35
2015-03-01,零存整取、整存零取、存本取息定期存款(三年),2.30
2015-03-01,零存整取、整存零取、存本取息定期存款(五年),--
2015-03-01,零存整取、整存零取、存本取息定期存款(一年),2.10
2015-03-01,通知存款(七天),1.35
2015-03-01,通知存款(一天),0.80
2015-03-01,协定存款(定期),1.15
2014-11-22,定活两便(定期),--
2014-11-22,定期存款整存整取(半年),2.55
2014-11-22,定期存款整存整取(二年),3.35
2014-11-22,定期存款整存整取(三个月),2.35
2014-11-22,定期存款整存整取(三年),4.00
2014-11-22,定期存款整存整取(五年),--
2014-11-22,定期存款整存整取(一年),2.75
2014-11-22,活期存款(不定期),0.35
2014-11-22,零存整取、整存零取、存本取息定期存款(三年),2.55
2014-11-22,零存整取、整存零取、存本取息定期存款(五年),--
2014-11-22,零存整取、整存零取、存本取息定期存款(一年),2.35
2014-11-22,通知存款(七天),1.35
2014-11-22,通知存款(一天),0.80
2014-11-22,协定存款(定期),1.15
2012-07-06,定活两便(定期),--
2012-07-06,定期存款整存整取(半年),2.80
2012-07-06,定期存款整存整取(二年),3.75
2012-07-06,定期存款整存整取(三个月),2.60
2012-07-06,定期存款整存整取(三年),4.25
2012-07-06,定期存款整存整取(五年),4.75
2012-07-06,定期存款整存整取(一年),3.00
2012-07-06,活期存款(不定期),0.35
2012-07-06,零存整取、整存零取、存本取息定期存款(三年),2.80
2012-07-06,零存整取、整存零取、存本取息定期存款(五年),--
2012-07-06,零存整取、整存零取、存本取息定期存款(一年),2.60
2012-07-06,通知存款(七天),1.35
2012-07-06,通知存款(一天),0.80
2012-07-06,协定存款(定期),1.15
2012-06-08,定活两便(定期),--
2012-06-08,定期存款整存整取(半年),3.05
2012-06-08,定期存款整存整取(二年),4.10
2012-06-08,定期存款整存整取(三个月),2.85
2012-06-08,定期存款整存整取(三年),4.65
2012-06-08,定期存款整存整取(五年),5.10
2012-06-08,定期存款整存整取(一年),3.25
2012-06-08,活期存款(不定期),0.40
2012-06-08,零存整取、整存零取、存本取息定期存款(三年),3.05
2012-06-08,零存整取、整存零取、存本取息定期存款(五年),3.25
2012-06-08,零存整取、整存零取、存本取息定期存款(一年),2.85
2012-06-08,通知存款(七天),1.39
2012-06-08,通知存款(一天),0.85
2012-06-08,协定存款(定期),1.21
2011-07-07,定活两便(定期),--
2011-07-07,定期存款整存整取(半年),3.30
2011-07-07,定期存款整存整取(二年),4.40
2011-07-07,定期存款整存整取(三个月),3.10
2011-07-07,定期存款整存整取(三年),5.00
2011-07-07,定期存款整存整取(五年),5.50
2011-07-07,定期存款整存整取(一年),3.50
2011-07-07,活期存款(不定期),0.50
2011-07-07,零存整取、整存零取、存本取息定期存款(三年),3.30
2011-07-07,零存整取、整存零取、存本取息定期存款(五年),3.50
2011-07-07,零存整取、整存零取、存本取息定期存款(一年),3.10
2011-07-07,通知存款(七天),1.49
2011-07-07,通知存款(一天),0.95
2011-07-07,协定存款(定期),1.31
2011-04-06,定活两便(定期),--
2011-04-06,定期存款整存整取(半年),3.05
2011-04-06,定期存款整存整取(二年),4.15
2011-04-06,定期存款整存整取(三个月),2.85
2011-04-06,定期存款整存整取(三年),4.75
2011-04-06,定期存款整存整取(五年),5.25
2011-04-06,定期存款整存整取(一年),3.25
2011-04-06,活期存款(不定期),0.50
2011-04-06,零存整取、整存零取、存本取息定期存款(三年),3.05
2011-04-06,零存整取、整存零取、存本取息定期存款(五年),3.25
2011-04-06,零存整取、整存零取、存本取息定期存款(一年),2.85
2011-04-06,通知存款(七天),1.49
2011-04-06,通知存款(一天),0.95
2011-04-06,协定存款(定期),1.31
2011-02-09,定活两便(定期),--
2011-02-09,定期存款整存整取(半年),2.80
2011-02-09,定期存款整存整取(二年),3.90
2011-02-09,定期存款整存整取(三个月),2.60
2011-02-09,定期存款整存整取(三年),4.50
2011-02-09,定期存款整存整取(五年),5.00
2011-02-09,定期存款整存整取(一年),3.00
2011-02-09,活期存款(不定期),0.40
2011-02-09,零存整取、整存零取、存本取息定期存款(三年),2.80
2011-02-09,零存整取、整存零取、存本取息定期存款(五年),3.00
2011-02-09,零存整取、整存零取、存本取息定期存款(一年),2.60
2011-02-09,通知存款(七天),1.39
2011-02-09,通知存款(一天),0.85
2011-02-09,协定存款(定期),1.21
2010-12-26,定活两便(定期),--
