year,gdp_yoy,pi,si,industry,ti
2017,100.0,4.9,36.3,31.9,58.8
2016,100.0,4.3,38.2,30.7,57.5
2015,100.0,4.6,42.4,35.4,52.9
2014,100.0,4.7,47.8,39.2,47.5
2013,100.0,4.3,48.5,40.5,47.2
2012,100.0,5.2,49.9,41.9,44.9
2011,100.0,4.2,52.0,45.9,43.8
2010,100.0,3.6,57.4,49.6,39.0
2009,100.0,4.0,52.3,40.7,43.7
2008,100.0,5.2,48.6,43.4,46.2
2007,100.0,2.7,50.1,43.8,47.3
2006,100.0,4.4,49.7,42.3,45.9
2005,100.0,5.2,50.5,43.1,44.3
2004,100.0,7.3,51.8,47.6,40.8
2003,100.0,3.1,57.9,51.6,39.0
2002,100.0,4.1,49.4,44.3,46.5
2001,100.0,4.6,46.4,42.0,49.0
2000,100.0,4.1,59.6,56.9,36.2
1999,100.0,6.0,57.8,55.0,36.2
1998,100.0,7.6,60.9,55.4,31.5
1997,100.0,6.8,59.7,58.3,33.5
1996,100.0,9.6,62.9,58.5,27.5
1995,100.0,9.1,64.3,58.5,26.6
1994,100.0,6.6,67.9,62.6,25.5
1993,100.0,7.9,65.5,59.1,26.6
1992,100.0,8.4,64.5,57.6,27.1
1991,100.0,7.1,62.8,58.0,30.1
1990,100.0,41.7,41.0,39.7,17.3
