code,name,change,open,preclose,close,high,low,volume,amount
000001,上证指数,-0.41,2665.427,2676.4762,2665.4306,2673.1879,2639.2707,193760100,1685.8891
000002,Ａ股指数,-0.41,2791.3766,2802.966,2791.3475,2799.5023,2763.9239,193398894,1684.2113
000003,Ｂ股指数,0.2,276.8957,277.4431,277.9918,279.3486,276.1486,361206,1.6779
000008,综合指数,-0.73,2612.9412,2629.2768,2610.1948,2617.9341,2586.3913,44062242,373.7245
000009,上证380,0.19,4046.8109,4052.7386,4060.628,4078.8233,4006.0902,47902265,396.4175
000010,上证180,-0.87,7367.8657,7414.903,7350.7021,7386.841,7283.0652,66982446,716.0735
000011,基金指数,-0.36,5690.7064,5703.5952,5683.2318,5695.367,5659.0355,48393723,361.0162
000012,国债指数,0.02,167.7019,167.6533,167.6882,167.7031,167.6715,323483,3.1624
000016,上证50,-1.23,2520.8774,2542.768,2511.5897,2524.6516,2489.593,28262359,373.0573
000017,新综指,-0.42,2250.6624,2260.0068,2250.615,2257.1914,2228.4993,193377208,1683.8437
000300,沪深300,-0.83,3269.4695,3290.2455,3262.8351,3279.8781,3230.3632,109706683,1236.3092
000905,中证500,0.06,4427.6324,4437.9456,4440.8274,4466.1357,4375.0414,87777277,661.5514
399001,深证成指,-0.36,7831.825,7867.543000000001,7839.081,7895.543000000001,7733.14,25978687590,2250.1135
399002,深成指R,-0.36,9466.847,9510.021999999999,9475.618,9543.867,9347.561,11307686616,1109.0544
399003,成份Ｂ指,-2.31,4907.198,4919.096,4805.456,4907.198,4783.4259999999995,9376317,0.7028
399004,深证100R,-0.74,4158.2029999999995,4183.858,4152.878,4181.053,4100.731,4067953462,522.3962
399005,中小板指,-0.54,5293.464,5317.608,5289.088000000001,5330.8859999999995,5218.187,2747299912,339.7129
399006,创业板指,0.04,1347.471,1348.279,1348.876,1371.4270000000001,1325.02,2085891101,263.8807
399008,中小300,-0.24,1017.915,1022.0319999999999,1019.546,1026.905,1005.2710000000001,6058482072,551.4911
399100,新 指 数,-0.03,6105.048000000001,6126.116,6124.141,6158.418000000001,6040.590999999999,25179439609,2204.2577
399101,中小板综,0.12,7885.245,7908.691999999999,7918.147,7958.201999999999,7812.363,11330943458,961.0013
399106,深证综指,-0.01,1347.494,1351.094,1351.004,1359.911,1332.453,25978687590,2250.1135
399107,深证Ａ指,-0.0,1408.817,1412.586,1412.566,1421.86,1393.126,25951384440,2248.996
399108,深证Ｂ指,-1.53,907.6189999999999,908.99,895.12,907.6189999999999,890.77,27303150,1.1174
399333,中小板R,-0.54,5885.601,5912.446,5880.736,5927.209,5801.903,2747299912,339.7129
399606,创业板R,0.04,1411.5379999999998,1412.385,1413.01,1436.6329999999998,1388.02,2085891101,263.8807
