Attendance,AvgPeople,CinemaName,RowNum,TodayAudienceCount,TodayBox,TodayShowCount,price
12.151937,22.94,上海五角场万达广场店,1,1606,78560.00,70,48.92
15.153393,23.29,中影国际影城上海合生汇店,2,1467,66112.00,63,45.07
10.078650,18.21,金逸上海龙之梦IMAX店,3,1202,64090.20,66,53.32
17.692480,28.21,上海开元地中海影城,4,1749,64052.00,62,36.62
11.552214,19.38,北京UME国际影城双井店,5,1260,63835.50,65,50.66
9.959497,13.10,SFC上影影城（港汇恒隆永华店）,6,1035,61363.70,79,59.29
9.834126,17.38,百丽宫影城长宁来福士店,7,956,54750.00,55,57.27
13.991464,19.75,海上明珠国际影城上海环球港店,8,1086,54498.00,55,50.18
10.434307,18.19,上海百丽宫影城（环贸iapm店）,9,764,54324.00,42,71.10
8.306250,13.84,CGV影城 上海七宝店,10,886,52278.00,64,59.00
12.443492,21.79,上海市百丽宫影城LCM置汇旭辉广场店,11,1046,51567.00,48,49.30
7.952186,14.36,金逸北京大悦城IMAX店,12,790,50825.50,55,64.34
13.631114,18.70,上海周浦万达广场店,13,1141,50766.00,61,44.49
8.758449,17.53,CGV影城 上海莘庄店,14,894,48578.00,51,54.34
17.071838,22.32,上海世纪友谊影城,15,1250,48192.96,56,38.55
7.769372,14.05,中影国际影城上海金科路店,16,1026,47842.00,73,46.63
8.275133,11.34,南京新街口国际影城,17,1293,47373.20,114,36.64
13.570940,19.80,上海星光影城,18,1168,47367.00,59,40.55
7.173723,12.21,闵行区百丽宫影城,19,757,46306.00,62,61.17
14.037433,20.38,上海百美汇影院,20,693,45455.00,34,65.59
6.059004,13.32,广州飞扬影城（正佳分店）,21,866,44781.00,65,51.71
4.820433,9.98,Jackie Chan北京耀莱,22,1058,44748.00,106,42.29
8.215407,12.58,武商摩尔国际电影城,23,1422,43175.00,113,30.36
8.015487,11.53,上海DFC影城（宝山店）,24,1268,43059.00,110,33.96
7.473266,9.87,北京寰映合生汇店,25,622,41451.30,63,66.64
14.839098,23.95,上海和平影都,26,1054,41358.00,44,39.24
8.472278,12.19,首都电影院西单店,27,817,40527.02,67,49.60
9.489191,11.98,SFC上影影城（八佰伴店）,28,791,40016.60,66,50.59
12.548239,10.43,上海苏宁影城南奉公路店,29,1033,39844.00,99,38.57
24.316983,23.16,石家庄市中都影城北辰店,30,1343,39704.00,58,29.56
7.379248,11.00,武汉汉街万达广场店,31,1023,39226.00,93,38.34
9.888014,15.55,中影国际影城珠海华发2店,32,1011,38968.00,65,38.54
22.700587,44.19,上海国泰影院,33,928,38918.00,21,41.94
6.692384,10.09,上海宝山万达广场店,34,757,38580.00,75,50.96
11.215220,17.82,海上明珠国际影城上海莘庄店,35,980,38276.00,55,39.06
8.700724,26.07,上海大光明影院,36,1069,37684.00,41,35.25
6.499261,11.00,上海松江万达广场店,37,847,37593.90,77,44.38
21.496212,34.39,厦门嘉庚华谊兄弟电影城,38,1135,37001.00,33,32.60
12.460233,15.33,金逸新恒星影城,39,705,36655.00,46,51.99
18.520152,16.83,浦东新区华夏久金国际影城,40,892,36230.00,53,40.62
9.959241,17.03,上海新天地UME影城,41,562,36142.50,33,64.31
11.908016,21.39,SFC上影影城（百联又一城店）,42,813,35966.80,38,44.24
8.194678,10.03,成都太平洋电影城,43,963,35286.66,96,36.64
9.615975,22.36,SFC上影影城（美罗城店）,44,626,34884.00,28,55.73
21.659989,20.77,石家庄市中都影城荣鼎店,45,1184,34764.00,57,29.36
10.144396,10.66,中影星美国际影城万家丽店,46,1141,34665.00,107,30.38
5.213318,11.54,广州飞扬影城,47,704,34660.00,61,49.23
9.001051,14.27,长沙横店潇湘王府井影城,48,1070,34657.40,75,32.39
5.604649,8.91,上海寰映影城大融城店,49,704,34524.00,79,49.04
5.848577,10.63,上海江桥万达广场店,50,712,34021.40,67,47.78
8.328513,10.55,郑州奥斯卡熙地港国际影城,51,960,33771.00,91,35.18
15.437805,14.03,闵行区CMC大光明影城,52,898,33758.00,64,37.59
7.478649,9.74,长江湾深影橙天影城,53,458,33657.00,47,73.49
10.881557,21.80,中影国际影城武汉光谷天河店,54,1112,33620.00,51,30.23
28.794779,15.02,SFC上影影城（新世界店）,55,706,33554.00,47,47.53
10.290712,15.38,上海国金百丽宫影城,56,600,33485.00,39,55.81
5.402542,8.50,深圳市万象影城罗湖万象城店,57,697,33475.00,82,48.03
14.915367,22.82,卢米埃上海紫荆影城,58,890,33386.00,39,37.51
6.506902,10.29,上海市UA梅龙镇广场电影城,59,607,33349.00,59,54.94
7.655799,14.38,SFC上影影城（宝山店）,60,863,33268.70,60,38.55
10.549450,13.71,橙天嘉禾影城上海LuOne凯德晶萃店,61,576,33204.00,42,57.65
11.125265,17.47,CGV星星影城 上海大华店,62,786,32911.00,45,41.87
14.190093,15.14,SFC上影影城（百联川沙店）,63,742,32770.90,49,44.17
10.237749,13.59,长宁区天山电影院,64,625,32702.00,46,52.32
21.193415,38.63,上海万裕国际影城,65,927,32458.00,24,35.01
10.018887,20.84,保利国际影城上海江川店,66,1167,32372.00,56,27.74
5.022617,10.73,卢米埃北京长楹天街IMAX影城,67,644,32362.00,60,50.25
9.696539,13.66,金逸广州海珠城IMAX店 ,68,683,32194.50,50,47.14
7.167470,10.40,上海保利世博店,69,676,31566.00,65,46.70
7.775002,13.20,CGV影城 上海大宁店,70,581,31469.00,44,54.16
16.154085,25.30,优幕星天地影城,71,936,31088.00,37,33.21
8.062977,10.56,SFC上影影城（天山缤谷广场店）,72,676,30767.00,64,45.51
4.248440,8.49,金逸北京荟聚IMAX店,73,577,30733.40,68,53.26
10.477134,15.10,上海市奉贤区横店电影城,74,740,30461.90,49,41.16
7.007775,11.06,南昌红谷滩万达广场店,75,730,30413.90,66,41.66
6.759982,11.54,广州白云万达广场店,76,623,30070.00,54,48.27
4.402639,11.53,SFC上影影城（上海影城）,77,588,29995.50,51,51.01
12.826901,22.94,中影国际影城海口上邦店,78,1124,29959.50,49,26.65
13.287117,11.79,华谊兄弟金源影院,79,920,29889.00,78,32.49
5.452329,8.39,上海闵行颛桥万达广场店,80,671,29863.50,80,44.51
9.194558,9.33,重庆UME国际影城（江北）,81,793,29644.81,85,37.38
13.238015,19.20,中影星美国际影城周园店,82,787,29626.00,41,37.64
9.806935,18.13,晋中市华谊兄弟影院,83,870,29468.00,48,33.87
13.626532,19.89,敦化市虹杨国际影城,84,756,29428.00,38,38.93
14.493783,13.60,上海龙之梦影城,85,544,29301.00,40,53.86
4.213950,5.55,北京市金泉港国际影城,86,583,29161.00,105,50.02
8.877271,11.16,诺亚新天地UME影城（宝山店）,87,703,29041.00,63,41.31
5.615843,9.99,上海宝山中宏影城,88,759,28940.00,76,38.13
5.828992,12.42,巨幕影城（武汉光谷广场资本大厦店）,89,944,28447.00,76,30.13
7.825621,11.71,武汉博纳国际电影城,90,843,28378.00,72,33.66
10.640712,19.05,海口星轶影城（吾悦广场IMAX店）,91,1219,28354.00,64,23.26
11.121818,16.77,华谊兄弟影院（武汉光谷店）,92,872,28286.00,52,32.44
22.027600,19.76,上海佰迦乐大光明影城,93,830,28241.00,42,34.03
19.580419,20.10,上海金谊华夏影城,94,784,28209.00,39,35.98
10.198871,16.13,南昌华影国际影城,95,839,28194.00,52,33.60
5.734494,12.66,金逸武汉销品茂IMAX店,96,861,27999.80,68,32.52
10.309938,20.13,SFC上影影城（南桥百联店）,97,644,27807.60,32,43.18
19.990435,8.94,海上明珠国际影城上海联洋店,98,608,27677.00,68,45.52
17.767823,17.63,松江太平洋影城,99,952,27635.00,54,29.03
6.798418,10.95,呼和浩特万达广场店,100,602,27620.80,55,45.88
