code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
000526,紫光学大,103.1979,2.6163,39749.8707,0.0068,1.4849,181.8304
002647,仁东控股,2.2324,120.9461,30613.1087,0.0088,0.6141,439.6678
603377,东方时尚,9984.5895,0.027000000000000003,21565.814,0.0125,0.8664,311.6343
000429,粤高速A,25.0985,10.7576,6425.3515,0.042,1.0176,265.3302
300347,泰格医药,2.2676,119.0686,5115.42,0.0528,1.1431,236.1998
600897,厦门空港,4.5729,59.0435,4626.0803,0.0584,1.2876,209.6925
002659,凯文教育,23.7217,11.382,4217.6704,0.064,0.2582,1045.701
002400,省广集团,3.7687,71.6427,3872.316,0.0697,1.5239,177.17700000000002
300467,迅游科技,9.7246,27.7646,3718.9331,0.0726,0.7961,339.1534
000415,渤海金控,12.7961,21.1002,3029.5999,0.0891,0.6638,406.749
002707,众信旅游,14.7645,18.2871,3021.1448,0.0894,2.6269,102.7827
300675,建科院,1.1607,232.6182,2535.9279,0.1065,0.5016,538.2775
603258,电魂网络,32.2398,8.3747,2220.3087,0.1216,0.2352,1147.9592
603357,设计总院,0.9042,298.6065,2129.1335,0.1268,0.4544,594.1901
601619,嘉泽新能,0.7963,339.0682,2102.9055,0.1284,0.5365,503.2619
300170,汉得信息,1.2734,212.0308,1766.9917,0.1528,0.8066,334.7384
600576,祥源文化,1.3916,194.0213,1460.7844,0.1848,0.4293,628.9308
603569,长久物流,2.0954,128.8537,1272.8575,0.2121,1.1024,244.9202
603056,德邦股份,15.3575,17.581,1187.9595,0.2273,3.2465,83.1665
002039,黔源电力,12.4285,21.7243,1108.1397,0.2437,1.8747,144.023
603813,原尚股份,3.4905,77.3528,903.2845,0.2989,1.8316,147.4121
000503,国新健康,13.0873,20.6307,861.248,0.3135,0.0523,5162.5239
600131,岷江水电,212.6717,1.2696,830.3711,0.3252,4.2371,63.7228
300051,三五互联,6.2875,42.9423,716.7274,0.3767,0.6736,400.8314
300746,汉嘉设计,2.1092,128.0106,708.3395,0.3812,0.8334,323.9741
600452,涪陵电力,8.3797,32.2207,698.4567,0.3866,2.1254,127.0349
002649,博彦科技,2.8921,93.3578,559.629,0.4825,1.1096,243.3309
601519,大智慧,5.9513,45.3682,558.7903,0.4832,0.4851,556.5863
300383,光环新网,3.0933,87.2854,534.0196,0.5056,1.3862,194.7771
600605,汇通能源,4.4813,60.2504,509.6683,0.5298,2.9624,91.1423
300348,长亮科技,1.0546,256.0212,397.2659,0.6796,0.5982,451.3541
000796,凯撒旅游,5.9181,45.6228,389.3776,0.6934,1.6477,163.8648
600270,外运发展,5.122999999999999,52.7035,383.88300000000004,0.7033,0.7583,356.0596
300687,赛意信息,1.4436,187.0324,359.0458,0.752,0.7084,381.1406
000088,盐田港,9.9981,27.0051,354.2933,0.7621,0.2231,1210.2196
300560,中富通,0.8628,312.9346,345.4048,0.7817,0.6712,402.2646
603506,南都物业,3.7039,72.8961,342.5446,0.7882,0.8919,302.7245
002468,申通快递,13.9507,19.3539,323.7378,0.8340000000000001,1.9803,136.343
600233,圆通速递,15.7974,17.0914,320.8012,0.8416,3.0897,87.3871
000089,深圳机场,5.0475,53.4918,318.9916,0.8464,0.6431,419.8414
002027,分众传媒,2.6628,101.397,317.5379,0.8503,0.9333,289.296
002357,富临运业,8.2202,32.8459,309.767,0.8716,2.5275,106.8249
000606,顺利办,5.1522,52.4048,308.2452,0.8759,0.5449,495.5038
600556,ST慧球,,,242.7157,1.1124,0.4596,587.4674
600634,*ST富控,8.3632,32.2843,234.1443,1.1531,0.2676,1008.9686
300494,盛天网络,,,221.7149,1.2178,0.3934,686.3244
000791,甘肃电投,2.6023,103.7544,208.3961,1.2956,0.8761,308.184
002285,世联行,3.1536,85.6164,206.7471,1.3059,0.4775,565.445
300144,宋城演艺,47.8541,5.6421,200.5584,1.3462,0.9084,297.2259
002018,*ST华信,0.2226,1212.938,199.1087,1.3559999999999999,0.1756,1537.5854
600221,海航控股,22.5388,11.9793,195.4911,1.3811,1.2744,211.8644
600865,百大集团,46.3118,5.83,188.5786,1.4318,0.8617,313.3341
600705,中航资本,20.0385,13.4741,185.9557,1.452,0.0368,7336.9565
000524,岭南控股,33.5635,8.0445,185.7853,1.4533,3.1157,86.6579
603444,吉比特,5.5021,49.0722,181.4591,1.4879,0.4809,561.4473
300215,电科院,14.0381,19.2334,175.9936,1.5341,0.7857,343.6426
603888,新华网,1.7631,153.1394,167.8064,1.609,0.335,805.9701
600722,金牛化工,,,165.0038,1.6363,0.7758,348.0278
600025,华能水电,4.9235,54.839,160.09799999999998,1.6865,1.4351,188.1402
002889,东方嘉盛,2.6252,102.8493,159.7188,1.6905,1.3066,206.6432
601518,吉林高速,,,154.6385,1.746,0.8522,316.827
002127,南极电商,2.583,104.5296,150.3849,1.7954,0.8486,318.1711
600012,皖通高速,,,144.357,1.8704,0.8909,303.0643
600009,上海机场,5.2404,51.5228,144.2463,1.8718,0.6859999999999999,393.586
300598,诚迈科技,1.5932,169.4702,140.1924,1.9259,0.8476,318.5465
002072,凯瑞德,0.9229,292.5561,135.468,1.9931,0.1216,2220.3947
603223,恒通股份,33.7735,7.9944,125.1101,2.1581,5.5879,48.3187
300017,网宿科技,2.7516,98.1247,120.8392,2.2344,0.853,316.5299
603825,华扬联众,2.2097,122.1885,118.2864,2.2826,1.5946,169.3215
002352,顺丰控股,11.0046,24.5352,88.4896,3.0512,2.1358,126.4163
000007,全新好,1115.5598,0.242,85.6132,3.1537,0.1931,1398.2393
601021,春秋航空,122.0597,2.2119999999999997,81.9271,3.2956,1.2643,213.5569
