code,name,bamount,bcount,samount,scount,net
600298,安琪酵母,20091.92,3,0.0,0,20091.92
300122,智飞生物,19810.57,4,0.0,0,19810.57
601012,隆基股份,29164.25,4,18418.6,1,10745.65
300760,迈瑞医疗,10316.42,2,1472.44,1,8843.98
300274,阳光电源,7940.43,2,0.0,0,7940.43
603660,苏州科达,7488.15,4,0.0,0,7488.15
002450,康得新,5111.71,5,405.26,1,4706.45
002180,纳思达,3134.45,3,681.27,1,2453.18
601990,南京证券,2329.25,1,0.0,0,2329.25
600718,东软集团,4151.07,2,2224.41,3,1926.66
600856,中天能源,1730.71,1,0.0,0,1730.71
002147,新光圆成,1630.28,9,0.0,0,1630.28
300724,捷佳伟创,1055.81,1,0.0,0,1055.81
000606,顺利办,1200.33,2,494.36,1,705.97
603105,芯能科技,701.63,1,0.0,0,701.63
000622,恒立实业,607.64,1,0.0,0,607.64
002208,合肥城建,565.05,1,0.0,0,565.05
300013,新宁物流,405.97,1,0.0,0,405.97
603898,好莱客,440.32,2,213.49,1,226.83
002665,首航节能,59.77,2,0.0,0,59.77
000988,华工科技,518.96,1,467.22,1,51.74
300746,汉嘉设计,248.12,1,270.25,1,-22.13
002669,康达新材,0.0,0,56.53,1,-56.53
601162,天风证券,0.0,0,68.05,2,-68.05
002939,长城证券,1327.14,1,1450.41,5,-123.27
600122,宏图高科,11.98,1,169.03,2,-157.05
002226,江南化工,0.0,0,299.75,1,-299.75
002635,安洁科技,0.0,0,348.34,1,-348.34
000517,荣安地产,0.0,0,384.82,1,-384.82
300108,吉药控股,0.0,0,492.18,1,-492.18
002739,万达电影,3542.91,4,4103.31,4,-560.4
000711,京蓝科技,0.0,0,726.66,1,-726.66
002607,亚夏汽车,0.0,0,935.38,1,-935.38
603566,普莱柯,1373.26,3,2547.89,3,-1174.63
000150,宜华健康,983.51,1,2538.8,2,-1555.29
603076,乐惠国际,0.0,0,2404.04,1,-2404.04
002563,森马服饰,2348.29,5,6329.25,6,-3980.96
002027,分众传媒,7346.29,2,12879.18,3,-5532.89
002766,索菱股份,0.0,0,5807.96,3,-5807.96
002617,露笑科技,5297.0,1,11697.79,3,-6400.79
600487,亨通光电,1225.29,1,18178.44,5,-16953.15
002668,奥马电器,0.0,0,75977.25,9,-75977.25
