BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
896.68,1,飓风奇劫,28.27,5,6788.24,2018-11-06 21:12:27
582.37,2,胡桃夹子和四个王国,18.36,5,9531.34,2018-11-06 21:12:27
471.14,3,流浪猫鲍勃,14.85,5,3888.89,2018-11-06 21:12:27
344.19,4,无双,10.85,38,126105.40,2018-11-06 21:12:27
232.43,5,铁血战士,7.33,12,21100.63,2018-11-06 21:12:27
163.01,6,冰封侠:时空行者,5.14,5,3088.29,2018-11-06 21:12:27
127.47,7,嗝嗝老师,4.02,26,14343.40,2018-11-06 21:12:27
71.63,8,找到你,2.26,33,28202.52,2018-11-06 21:12:27
69.76,9,昨日青空,2.20,12,8149.47,2018-11-06 21:12:27
69.18,10,滴答屋,2.18,6,1804.11,2018-11-06 21:12:27
144.09,11,其它,1.00,0,0.00,2018-11-06 21:12:27
