broker,count,bamount,bcount,samount,scount,top3
平安证券股份有限公司深圳深南东路罗湖商务中心证券营业部,22,5865.4,12,4065.7,10,"京蓝科技,五矿稀土,锋龙股份,"
光大证券股份有限公司宁波甬江大道证券营业部,4,5163.68,3,2290.0,1,"奥马电器,华仪电气,五矿稀土"
湘财证券股份有限公司台州祥和路证券营业部,7,3241.04,5,1269.59,2,"紫光学大,泰嘉股份,顶固集创,"
安信证券股份有限公司广州新港西路证券营业部,1,564.37,1,0.0,0,五矿稀土
方正证券股份有限公司上海杨高南路证券营业部,14,9629.34,12,1195.18,2,"大烨智能,蠡湖股份,万方发展,"
国泰君安证券股份有限公司上海打浦路证券营业部,1,567.08,1,0.0,0,紫光学大
中国中投证券有限责任公司南京太平南路证券营业部,4,4000.81,3,782.92,1,"迈瑞医疗,顺利办,五矿稀土,"
光大证券股份有限公司慈溪三北西大街证券营业部,1,344.22,1,0.0,0,高升控股
国泰君安证券股份有限公司顺德大良证券营业部,11,18746.49,8,3616.03,3,"露笑科技,凯瑞德,寒锐钴业,"
国泰君安证券股份有限公司上海分公司,7,2332.09,5,2025.98,2,"智慧松德,麦达数字,紫光学大,"
西藏东方财富证券股份有限公司武汉建设大道证券营业部,1,9270.19,1,0.0,0,九芝堂
华泰证券股份有限公司上海武定路证券营业部,19,14574.42,11,4765.28,8,"奥马电器,兴瑞科技,中关村,"
长江证券股份有限公司武汉胜利街证券营业部,1,314.4,1,0.0,0,高升控股
东莞证券股份有限公司重庆市渝中区中山一路证券营业部,1,565.39,1,0.0,0,盈方微
中国中投证券有限责任公司无锡清扬路证券营业部,23,14381.63,13,8205.85,10,"长城证券,雅运股份,新疆浩源,"
深股通专用,26,7961.44,15,8206.3,11,"九芝堂,华闻传媒,金鸿控股,"
方正证券股份有限公司岳阳巴陵东路证券营业部,1,0.0,0,362.23,1,五矿稀土
国盛证券有限责任公司厦门莲花南路证券营业部,1,231.54,1,0.0,0,高升控股
中信建投证券股份有限公司上海华灵路证券营业部,1,501.0,1,0.0,0,盈方微
财富证券有限责任公司杭州庆春路证券营业部,14,3355.36,9,3669.78,5,"宏达矿业,中铝国际,永太科技,"
联储证券有限责任公司郑州文化路证券营业部,1,1018.59,1,0.0,0,九芝堂
平安证券股份有限公司广州华强路证券营业部,1,0.0,0,316.81,1,五矿稀土
国盛证券有限责任公司景德镇珠山中路证券营业部,1,212.61,1,0.0,0,高升控股
华宝证券有限责任公司舟山解放西路证券营业部,1,478.42,1,0.0,0,盈方微
长江证券股份有限公司上海世纪大道证券营业部,10,19297.38,6,17836.87,4,"长城证券,露笑科技,迈瑞医疗,"
华泰证券股份有限公司北京广渠门内大街证券营业部,12,6258.82,8,4717.57,4,"金力永磁,市北高新,南京证券,"
中国银河证券股份有限公司杭州新塘路证券营业部,5,3122.13,2,3039.32,3,"兴瑞科技,金力永磁,五矿稀土"
中信建投证券股份有限公司北京东直门南大街证券营业部,1,0.0,0,343.07,1,高升控股
华福证券有限责任公司义乌宾王路证券营业部,1,437.81,1,0.0,0,盈方微
浙商证券股份有限公司温岭人民东路证券营业部,2,0.0,0,1748.16,2,"安德利,紫光学大"
申万宏源证券有限公司南宁长湖路证券营业部,1,764.07,1,0.0,0,九芝堂
爱建证券有限责任公司上海石门二路证券营业部,1,0.0,0,277.27,1,五矿稀土
中信证券（山东）有限责任公司烟威分公司,1,0.0,0,202.2,1,高升控股
国信证券股份有限公司上海北京东路证券营业部,6,406.74,1,2221.77,5,"乔治白,寒锐钴业,盈方微,"
海通证券股份有限公司宁波中山东路证券营业部,1,0.0,0,636.05,1,紫光学大
中泰证券股份有限公司惠州文明一路证券营业部,1,0.0,0,2080.66,1,九芝堂
安信证券股份有限公司阳江安宁路证券营业部,2,0.0,0,549.48,2,"五矿稀土,*ST工新"
华泰证券股份有限公司北京月坛南街证券营业部,2,0.0,0,489.6,2,"高升控股,浔兴股份"
信达证券股份有限公司调兵山迎宾路证券营业部,1,0.0,0,176.7,1,盈方微
华泰证券股份有限公司南通分公司,9,4166.09,6,2052.91,3,"麦达数字,华西股份,山东路桥,"
中泰证券股份有限公司深圳泰然九路证券营业部,2,0.0,0,1422.89,2,"首航节能,九芝堂"
中国银河证券股份有限公司长兴县前西街证券营业部,3,0.0,0,1106.42,3,"高升控股,斯太尔"
国信证券股份有限公司广州东风中路证券营业部,2,1055.64,1,156.31,1,"南京高科,盈方微"
中信建投证券股份有限公司长沙芙蓉中路证券营业部,2,0.0,0,829.31,2,"拓维信息,紫光学大"
中信证券股份有限公司杭州文三路证券营业部,2,0.0,0,2231.59,2,"九芝堂,康得新"
国金证券股份有限公司上海奉贤区金碧路证券营业部,22,7425.46,15,3523.61,7,"昂利康,长城证券,中铝国际,"
招商证券股份有限公司上海樱花路证券营业部,1,0.0,0,138.52,1,盈方微
平安证券股份有限公司佛山季华四路证券营业部,1,0.0,0,115.1,1,盈方微
英大证券有限责任公司深圳园岭三街证券营业部,2,0.0,0,1283.01,2,"永新光学,九芝堂"
九州证券股份有限公司浙江分公司,6,3830.15,5,1657.67,1,"永太科技,华金资本,九鼎投资,"
财通证券股份有限公司杭州体育馆证券营业部,24,14582.12,12,13153.33,12,"浔兴股份,蠡湖股份,合肥城建,"
安信证券股份有限公司上海樱花路证券营业部,5,3943.38,4,536.0,1,"露笑科技,首航节能"
海通证券股份有限公司天津霞光道证券营业部,4,1286.07,2,1141.58,2,"永太科技,锐奇股份,汉嘉设计,"
华泰证券股份有限公司湖南分公司,11,4676.33,5,4219.22,6,"ST升达,科创信息,金鸿控股,"
方正证券股份有限公司新昌人民中路证券营业部,2,393.5,2,0.0,0,露笑科技
长江证券股份有限公司台州市府大道证券营业部,6,2174.52,3,2317.77,3,"实丰文化,永太科技,润都股份"
中信证券股份有限公司天津分公司,5,1200.05,3,1534.99,2,"浔兴股份,康得新"
中信证券股份有限公司厦门鹭江道证券营业部,1,49.97,1,0.0,0,露笑科技
东方证券股份有限公司上海浦东新区春晓路证券营业部,1,1249.02,1,0.0,0,台海核电
华鑫证券有限责任公司天津大港油田幸福路证券营业部,8,4179.64,6,977.64,2,"德美化工,九有股份,紫江企业,"
华泰证券股份有限公司常州和平北路证券营业部,3,20.09,1,969.62,2,"山东路桥,露笑科技,大通燃气"
国融证券股份有限公司杭州江晖路证券营业部,12,4102.69,8,2348.33,4,"浔兴股份,新日恒力,隆盛科技,"
华安证券股份有限公司蚌埠涂山路证券营业部,1,896.32,1,0.0,0,台海核电
