code,name,count,bamount,samount,net,bcount,scount
300274,阳光电源,1,29368.22,8849.25,20518.97,4,5
002939,长城证券,3,68818.59,49300.73,19517.86,14,15
300122,智飞生物,1,29478.42,10519.07,18959.35,2,5
000150,宜华健康,3,49914.4,31077.58,18836.83,11,10
000989,九芝堂,1,18172.92,5618.19,12554.74,5,5
300760,迈瑞医疗,1,18998.65,7023.03,11975.63,4,5
300104,乐视网,1,15694.79,4891.44,10803.36,5,5
300748,金力永磁,6,62404.64,52791.72,9612.91,26,26
002192,融捷股份,1,15531.47,6984.7,8546.76,5,5
603032,德新交运,4,33904.14,25381.1,8523.05,13,18
600895,张江高科,1,10324.15,2139.26,8184.89,5,5
002888,惠威科技,2,16208.77,8045.18,8163.59,10,10
601162,天风证券,3,30712.82,24286.56,6426.27,14,15
000622,恒立实业,2,13681.29,7338.43,6342.85,9,10
000669,金鸿控股,1,8647.74,2950.25,5697.49,5,5
000532,华金资本,2,8976.12,3328.38,5647.74,10,10
300618,寒锐钴业,1,16422.54,10811.82,5610.72,5,5
000917,电广传媒,1,8316.13,3080.08,5236.05,5,5
600796,钱江生化,3,7120.13,2471.56,4648.57,11,10
600425,青松建化,1,7201.12,2631.01,4570.11,5,5
601012,隆基股份,1,46433.15,42096.36,4336.79,2,5
000931,中关村,2,11442.66,7377.75,4064.9,10,9
600783,鲁信创投,1,5607.32,1678.02,3929.3,5,5
002366,台海核电,1,5924.28,2120.0,3804.28,5,5
600604,市北高新,2,5942.99,2197.48,3745.51,10,10
300670,大烨智能,5,19488.43,15901.77,3586.66,19,18
600718,东软集团,1,7299.68,3732.04,3567.64,4,3
002766,索菱股份,1,5926.45,2458.99,3467.46,5,5
000609,中迪投资,4,9733.31,6320.0,3413.31,17,17
002700,新疆浩源,3,27322.86,23919.16,3403.7,14,14
002137,麦达数字,2,13153.13,9959.14,3193.99,11,12
603583,捷昌驱动,1,6581.96,3718.46,2863.5,5,5
600560,金自天正,2,3676.11,820.32,2855.78,6,7
600856,中天能源,1,5141.32,2429.7,2711.63,5,5
002923,润都股份,2,16442.25,13824.88,2617.37,8,8
300688,创业黑马,2,13943.7,11383.66,2560.03,10,10
