month,gold,foreign_reserves
2018.9,5924.00,30870.25
2018.8,5924.00,31097.16
2018.7,5924.00,31179.46
2018.6,5924.00,31121.29
2018.5,5924.00,31106.23
2018.4,5924.00,31248.52
2018.3,5924.00,31428.20
2018.2,5924.00,31344.82
2018.1,5924.00,31614.57
2017.12,5924.00,31399.49
2017.11,5924.00,31192.77
2017.10,5924.00,31092.13
2017.9,5924.00,31085.10
2017.8,5924.00,30915.27
2017.7,5924.00,30807.20
2017.6,5924.00,30567.89
2017.5,5924.00,30535.67
2017.4,5924.00,30295.33
2017.3,5924.00,30090.88
2017.2,5924.00,30051.24
2017.1,5924.00,29982.04
2016.12,5924.00,30105.17
2016.11,5924.00,30515.98
2016.10,5924.00,31206.55
2016.9,5911.00,31663.82
2016.8,5895.00,31851.67
2016.7,5879.00,32010.57
2016.6,5862.00,32051.62
2016.5,5814.00,31917.36
2016.4,5814.00,32196.68
2016.3,5779.00,32125.79
2016.2,5750.00,32023.21
2016.1,5718.00,32308.93
2015.12,5666.00,33303.62
2015.11,5605.00,34382.84
2015.10,5538.00,35255.07
2015.9,5493.00,35141.20
2015.8,5445.00,35573.81
2015.7,5393.00,36513.10
2015.6,5332.00,36938.38
2015.5,3389.00,37111.43
2015.4,3389.00,37481.42
2015.3,3389.00,37300.38
2015.2,3389.00,38015.03
2015.1,3389.00,38134.14
2014.12,3389.00,38430.18
2014.11,3389.00,38473.54
2014.10,3389.00,38529.18
2014.9,3389.00,38877.00
2014.8,3389.00,39688.25
2014.7,3389.00,39662.67
2014.6,3389.00,39932.13
2014.5,3389.00,39838.90
2014.4,3389.00,39787.95
2014.3,3389.00,39480.97
2014.2,3389.00,39137.39
2014.1,3389.00,38666.41
2013.12,3389.00,38213.15
2013.11,3389.00,37894.51
2013.10,3389.00,37365.87
2013.9,3389.00,36626.62
2013.8,3389.00,35530.43
2013.7,3389.00,35478.10
2013.6,3389.00,34966.86
2013.5,3389.00,35148.07
2013.4,3389.00,35344.82
2013.3,3389.00,34426.49
2013.2,3389.00,33954.18
2013.1,3389.00,34100.61
2012.12,3389.00,33115.89
2012.11,3389.00,32976.71
2012.10,3389.00,32874.26
2012.9,3389.00,32850.95
2012.8,3389.00,32729.01
2012.7,3389.00,32399.52
2012.6,3389.00,32400.05
2012.5,3389.00,32061.09
2012.4,3389.00,32989.13
2012.3,3389.00,33049.71
2012.2,3389.00,33096.57
2012.1,3389.00,32536.31
2011.12,3389.00,31811.48
2011.11,3389.00,32209.07
2011.10,3389.00,32737.96
2011.9,3389.00,32016.83
2011.8,3389.00,32624.99
2011.7,3389.00,32452.83
2011.6,3389.00,31974.91
2011.5,3389.00,31659.97
2011.4,3389.00,31458.43
2011.3,3389.00,30446.74
2011.2,3389.00,29913.86
2011.1,3389.00,29316.74
2010.12,3389.00,28473.38
2010.11,3389.00,27678.09
2010.10,3389.00,27608.99
2010.9,3389.00,26483.03
2010.8,3389.00,25478.38
2010.7,3389.00,25388.94
2010.6,3389.00,24542.75
2010.5,3389.00,24395.06
2010.4,3389.00,24905.12
2010.3,3389.00,24470.84
2010.2,3389.00,24245.91
2010.1,3389.00,24152.21
2009.12,3389.00,23991.52
2009.11,3389.00,23887.88
2009.10,3389.00,23282.72
2009.9,3389.00,22725.95
2009.8,3389.00,22108.27
2009.7,3389.00,21746.18
2009.6,3389.00,21316.06
2009.5,3389.00,20894.91
2009.4,3389.00,20088.80
2009.3,1929.00,19537.41
2009.2,1929.00,19120.66
2009.1,1929.00,19134.56
2008.12,1929.00,19460.30
2008.11,1929.00,18847.17
2008.10,1929.00,18796.88
2008.9,1929.00,19055.85
2008.8,1929.00,18841.53
2008.7,1929.00,18451.64
2008.6,1929.00,18088.28
2008.5,1929.00,17969.61
2008.4,1929.00,17566.55
2008.3,1929.00,16821.77
2008.2,1929.00,16471.34
2008.1,1929.00,15898.10
2007.12,1929.00,15282.49
2007.11,1929.00,14969.06
2007.10,1929.00,14548.98
2007.9,1929.00,14336.11
2007.8,1929.00,14086.41
2007.7,1929.00,13852.00
2007.6,1929.00,13326.25
2007.5,1929.00,12926.71
2007.4,1929.00,12465.66
2007.3,1929.00,12020.31
2007.2,1929.00,11573.72
2007.1,1929.00,11046.92
2006.12,1929.00,10663.40
2006.11,1929.00,10387.51
2006.10,1929.00,10096.26
2006.9,1929.00,9879.28
2006.8,1929.00,9720.39
2006.7,1929.00,9545.50
2006.6,1929.00,9411.15
2006.5,1929.00,9250.20
2006.4,1929.00,8950.40
2006.3,1929.00,8750.70
2006.2,1929.00,8536.72
2006.1,1929.00,8451.80
2005.12,1929.00,8188.72
2005.11,1929.00,7942.23
2005.10,1929.00,7849.02
2005.9,1929.00,7690.04
2005.8,1929.00,7532.09
2005.7,1929.00,7327.33
2005.6,1929.00,7109.73
2005.5,1929.00,6910.12
2005.4,1929.00,6707.74
2005.3,1929.00,6591.44
2005.2,1929.00,6426.10
2005.1,1929.00,6236.46
2004.12,1929.00,6099.32
2004.11,1929.00,5738.82
2004.10,1929.00,5424.43
2004.9,1929.00,5145.38
2004.8,1929.00,4961.69
2004.7,1929.00,4829.82
2004.6,1929.00,4706.39
2004.5,1929.00,4585.60
2004.4,1929.00,4490.17
2004.3,1929.00,4398.22
2004.2,1929.00,4266.39
2004.1,1929.00,4157.20
2003.12,1929.00,4032.51
2003.11,1929.00,4203.61
2003.10,1929.00,4009.92
2003.9,1929.00,3838.63
2003.8,1929.00,3647.34
2003.7,1929.00,3564.86
2003.6,1929.00,3464.76
2003.5,1929.00,3400.61
2003.4,1929.00,3262.91
2003.3,1929.00,3160.10
2003.2,1929.00,3082.50
2003.1,1929.00,3044.60
2002.12,1929.00,2864.07
2002.11,1608.00,2746.25
2002.10,1608.00,2655.39
2002.9,1608.00,2586.30
2002.8,1608.00,2530.90
2002.7,1608.00,2465.34
2002.6,1608.00,2427.63
2002.5,1608.00,2384.73
2002.4,1608.00,2338.24
2002.3,1608.00,2276.05
2002.2,1608.00,2235.31
