code,name,pchange,amount,buy,sell,reason,bratio,sratio,date
000532,华金资本,10.039,5829.73,3693.53,2136.19,日涨幅偏离值达到7%的前五只证券,0.98,0.56,2018-11-07
000608,阳光股份,9.9602,5106.15,3274.05,1832.09,日涨幅偏离值达到7%的前五只证券,0.52,0.29,2018-11-07
000609,中迪投资,10.0917,4985.62,2662.74,2322.88,日涨幅偏离值达到7%的前五只证券,0.15,0.13,2018-11-07
000622,恒立实业,10.0329,10729.60,6785.93,3943.67,日涨幅偏离值达到7%的前五只证券,0.27,0.15,2018-11-07
000638,万方发展,10.0209,4840.81,2554.81,2286.01,日涨幅偏离值达到7%的前五只证券,0.32,0.29,2018-11-07
002054,德美化工,9.9467,14516.90,5093.14,9423.76,日涨幅偏离值达到7%的前五只证券,0.11,0.20,2018-11-07
002098,浔兴股份,9.9509,7973.67,4426.31,3547.35,日涨幅偏离值达到7%的前五只证券,0.11,0.08,2018-11-07
002137,麦达数字,-3.5265,8342.41,5209.46,3132.95,日振幅值达到15%的前五只证券,0.11,0.07,2018-11-07
002141,贤丰控股,10.0286,6406.26,2563.23,3843.03,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.10,0.15,2018-11-07
002147,新光圆成,-10.0207,305.02,98.07,206.95,日跌幅偏离值达到7%的前五只证券,0.47,1.00,2018-11-07
002147,新光圆成,-10.0207,852.66,205.90,646.76,连续三个交易日内，跌幅偏离值累计达到20%的证券,0.32,1.00,2018-11-07
002259,ST升达,4.661,7856.49,3258.10,4598.39,"连续三个交易日内,涨幅偏离值累计达到12%的ST证券、*ST证券",0.11,0.16,2018-11-07
002261,拓维信息,9.9744,5719.12,3761.45,1957.67,日涨幅偏离值达到7%的前五只证券,0.14,0.07,2018-11-07
002263,*ST东南,5.2023,5575.44,2903.60,2671.85,"连续三个交易日内,涨幅偏离值累计达到12%的ST证券、*ST证券",0.13,0.12,2018-11-07
002328,新朋股份,10.0365,7106.08,3581.64,3524.44,日涨幅偏离值达到7%的前五只证券,0.12,0.12,2018-11-07
002328,新朋股份,10.0365,8594.58,5069.59,3524.99,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.16,0.11,2018-11-07
002450,康得新,-9.9935,2456.15,448.40,2007.75,日跌幅偏离值达到7%的前五只证券,0.22,1.00,2018-11-07
002607,亚夏汽车,-3.0395,27000.35,8404.75,18595.60,日振幅值达到15%的前五只证券,0.06,0.13,2018-11-07
002656,摩登大道,0.4624,21980.86,8546.57,13434.29,日振幅值达到15%的前五只证券,0.23,0.36,2018-11-07
002665,首航节能,-10,7364.93,3837.77,3527.16,日跌幅偏离值达到7%的前五只证券,0.79,0.73,2018-11-07
002665,首航节能,-10,15484.25,8422.61,7061.63,连续三个交易日内，跌幅偏离值累计达到20%的证券,0.79,0.66,2018-11-07
002680,*ST长生,-5.0847,1911.47,445.32,1466.15,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券,0.11,0.36,2018-11-07
002700,新疆浩源,1.3403,11640.73,3764.11,7876.62,日振幅值达到15%的前五只证券,0.05,0.11,2018-11-07
002739,万达电影,-10.0036,3747.77,935.56,2812.21,日跌幅偏离值达到7%的前五只证券,0.28,0.85,2018-11-07
002739,万达电影,-10.0036,11022.86,4824.34,6198.52,连续三个交易日内，跌幅偏离值累计达到20%的证券,0.43,0.56,2018-11-07
002862,实丰文化,-7.3052,7508.87,2467.58,5041.28,日换手率达到20%的前五只证券,0.11,0.22,2018-11-07
002881,美格智能,0.9035,8390.24,3103.83,5286.42,日换手率达到20%的前五只证券,0.11,0.18,2018-11-07
002888,惠威科技,10.0101,7858.29,5562.73,2295.56,日涨幅偏离值达到7%的前五只证券,0.21,0.09,2018-11-07
002888,惠威科技,10.0101,11688.54,8469.43,3219.11,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.19,0.07,2018-11-07
002888,惠威科技,10.0101,7858.29,5562.73,2295.56,日换手率达到20%的前五只证券,0.21,0.09,2018-11-07
